date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
15/03/2020,Endpoint,Tricked,Mirage,6,16,2,1,4,11,2,5,5247,2340329,40,86,1,2,2
15/03/2020,Endpoint,Tricked,Train,14,16,2,1,6,9,8,7,5247,2340329,40,86,1,2,2
15/03/2020,Endpoint,Tricked,Dust2,16,13,1,2,10,4,6,9,5247,2340329,40,86,1,2,2
22/02/2020,Endpoint,forZe,Vertigo,28,26,1,2,7,8,8,7,4869,2339361,52,13,2,1,1
22/02/2020,Endpoint,forZe,Train,16,7,1,1,12,3,4,4,4869,2339361,52,13,2,1,1
22/02/2020,Endpoint,forZe,Inferno,12,16,2,1,6,9,6,7,4869,2339361,52,13,2,1,1
14/02/2020,Endpoint,Winstrike,Train,20,22,2,1,6,9,9,6,5211,2339496,49,56,1,2,2
14/02/2020,Endpoint,Winstrike,Overpass,10,16,2,1,4,11,6,5,5211,2339496,49,56,1,2,2
14/02/2020,Endpoint,Winstrike,Vertigo,16,13,1,1,10,5,6,8,5211,2339496,49,56,1,2,2
12/02/2020,Endpoint,Sinners,Mirage,3,16,2,2,0,4,3,12,5134,2339447,49,52,3,16,2
21/09/2019,Endpoint,Japaleno,Overpass,13,16,2,1,7,8,6,8,4912,2336366,185,76,13,16,2
29/05/2019,Endpoint,FrenchFrogs,Mirage,5,16,2,2,0,6,5,10,4636,2333738,151,46,5,16,2
07/04/2019,Endpoint,ex-Fragsters,Inferno,8,16,2,1,3,12,5,4,4433,2332413,97,99,2,1,1
07/04/2019,Endpoint,ex-Fragsters,Train,16,13,1,1,9,6,7,7,4433,2332413,97,99,2,1,1
07/04/2019,Endpoint,ex-Fragsters,Mirage,16,12,1,2,10,3,6,9,4433,2332413,97,99,2,1,1
30/01/2019,Endpoint,3DMAX,Inferno,11,16,2,1,7,8,4,8,4351,2330573,78,28,11,16,2
09/01/2019,Endpoint,HAVU,Cache,16,5,1,1,10,5,6,0,4227,2330197,73,52,2,1,1
09/01/2019,Endpoint,HAVU,Dust2,16,7,1,1,10,5,6,2,4227,2330197,73,52,2,1,1
09/01/2019,Endpoint,HAVU,Mirage,7,16,2,2,3,5,4,11,4227,2330197,73,52,2,1,1
09/01/2019,Endpoint,Izako Boars,Dust2,16,10,1,1,10,5,6,5,4227,2330206,73,84,1,2,2
09/01/2019,Endpoint,Izako Boars,Overpass,12,16,2,2,4,9,8,7,4227,2330206,73,84,1,2,2
09/01/2019,Endpoint,Izako Boars,Mirage,6,16,2,2,4,3,2,13,4227,2330206,73,84,1,2,2
22/12/2018,Endpoint,Defusekids,Train,16,19,2,1,8,7,7,8,4340,2330099,71,138,2,1,1
22/12/2018,Endpoint,Defusekids,Overpass,16,12,1,2,9,4,7,8,4340,2330099,71,138,2,1,1
22/12/2018,Endpoint,Defusekids,Inferno,16,9,1,1,9,6,7,3,4340,2330099,71,138,2,1,1
13/12/2018,Endpoint,x6tence Galaxy,Overpass,12,16,2,2,9,4,3,12,4265,2329918,66,32,0,2,2
13/12/2018,Endpoint,x6tence Galaxy,Inferno,10,16,2,1,5,10,5,6,4265,2329918,66,32,0,2,2
02/12/2018,Endpoint,EURONICS,Inferno,16,8,1,2,7,2,9,6,4265,2329617,92,74,2,1,1
02/12/2018,Endpoint,EURONICS,Nuke,2,16,2,2,0,3,2,13,4265,2329617,92,74,2,1,1
02/12/2018,Endpoint,EURONICS,Overpass,22,18,1,1,7,8,8,7,4265,2329617,92,74,2,1,1
25/11/2018,Endpoint,London,Inferno,16,4,1,2,5,0,11,4,4274,2329463,93,282,1,2,2
25/11/2018,Endpoint,London,Overpass,11,16,2,2,4,8,7,8,4274,2329463,93,282,1,2,2
25/11/2018,Endpoint,London,Mirage,9,16,2,2,4,6,5,10,4274,2329463,93,282,1,2,2
17/11/2018,Endpoint,Vexed,Inferno,16,6,1,1,11,4,5,2,4241,2329175,97,139,2,0,1
17/11/2018,Endpoint,Vexed,Mirage,16,8,1,2,8,1,8,7,4241,2329175,97,139,2,0,1
09/11/2018,Endpoint,Chaos,Overpass,14,16,2,2,3,12,11,4,3964,2328980,88,92,14,16,2
07/11/2018,Endpoint,ALTERNATE aTTaX,Inferno,16,6,1,2,2,5,14,1,3964,2328864,88,59,16,6,1
06/11/2018,Endpoint,Smoke Criminals,Inferno,5,16,2,1,3,12,2,4,3964,2328818,88,151,5,16,2
04/11/2018,Endpoint,EURONICS,Mirage,16,3,1,2,4,0,12,3,3964,2328724,86,75,16,3,1
04/11/2018,Endpoint,PACT,Inferno,16,3,1,1,12,3,4,0,3964,2328286,86,45,16,3,1
01/11/2018,Endpoint,Red Reserve,Overpass,2,16,2,2,0,3,2,13,3964,2328668,86,39,2,16,2
25/10/2018,Endpoint,SJ,Inferno,8,16,2,1,4,11,4,5,4193,2328394,99,67,0,2,2
25/10/2018,Endpoint,SJ,Mirage,11,16,2,2,1,11,10,5,4193,2328394,99,67,0,2,2
22/10/2018,Endpoint,LDLC,Train,16,14,1,2,6,9,10,5,4121,2328321,99,26,16,14,1
10/10/2018,Endpoint,Flow,Overpass,13,16,2,2,5,9,8,7,3964,2327809,65,100,13,16,2
09/10/2018,Endpoint,Kinguin,Overpass,8,16,2,1,6,9,2,7,3964,2327746,65,17,8,16,2
08/10/2018,Endpoint,Izako Boars,Dust2,5,16,2,1,5,10,0,6,4100,2327731,53,75,1,2,2
08/10/2018,Endpoint,Izako Boars,Overpass,16,14,1,2,5,10,11,4,4100,2327731,53,75,1,2,2
08/10/2018,Endpoint,Izako Boars,Mirage,14,16,2,1,6,9,8,7,4100,2327731,53,75,1,2,2
07/10/2018,Endpoint,PACT,Inferno,16,11,1,1,6,9,10,2,4100,2327538,53,50,16,11,1
30/09/2018,Endpoint,HAVU,Train,12,16,2,2,6,7,6,9,3946,2327086,52,42,0,2,2
30/09/2018,Endpoint,HAVU,Overpass,12,16,2,2,10,3,2,13,3946,2327086,52,42,0,2,2
27/09/2018,Endpoint,Izako Boars,Train,16,13,1,1,10,5,6,8,3946,2326944,52,68,2,1,1
27/09/2018,Endpoint,Izako Boars,Overpass,8,16,2,2,3,6,5,10,3946,2326944,52,68,2,1,1
27/09/2018,Endpoint,Izako Boars,Inferno,16,12,1,1,6,9,10,3,3946,2326944,52,68,2,1,1
25/09/2018,Endpoint,SJ,Inferno,14,16,2,1,9,6,5,10,3964,2326954,52,63,14,16,2
17/09/2018,Endpoint,WASD,Overpass,12,16,2,2,7,6,5,10,4051,2326729,52,135,2,1,1
17/09/2018,Endpoint,WASD,Inferno,16,5,1,2,3,3,13,2,4051,2326729,52,135,2,1,1
17/09/2018,Endpoint,WASD,Train,16,11,1,1,13,2,3,9,4051,2326729,52,135,2,1,1
11/09/2018,Endpoint,HAVU,Dust2,15,19,2,2,5,10,10,5,3946,2326347,50,51,1,2,2
11/09/2018,Endpoint,HAVU,Train,3,16,2,1,3,12,0,4,3946,2326347,50,51,1,2,2
11/09/2018,Endpoint,HAVU,Overpass,16,11,1,2,7,5,9,6,3946,2326347,50,51,1,2,2
04/09/2018,Endpoint,aAa,Dust2,16,6,1,1,10,5,6,1,3898,2326452,55,132,2,1,1
04/09/2018,Endpoint,aAa,Train,11,16,2,1,9,6,2,10,3898,2326452,55,132,2,1,1
04/09/2018,Endpoint,aAa,Overpass,16,11,1,2,10,2,6,9,3898,2326452,55,132,2,1,1
28/08/2018,Endpoint,aAa,Inferno,11,16,2,1,3,12,8,4,3988,2326086,54,141,11,16,2
28/08/2018,Endpoint,KPI,Dust2,19,16,1,2,8,7,7,8,3988,2326110,54,108,19,16,1
26/08/2018,Endpoint,Unique,Mirage,16,13,1,1,6,9,10,4,4001,2326016,84,89,2,0,1
26/08/2018,Endpoint,Unique,Dust2,16,11,1,2,4,8,12,3,4001,2326016,84,89,2,0,1
21/08/2018,Endpoint,Squared,Overpass,12,16,2,2,9,4,3,12,3946,2325649,84,194,2,1,1
21/08/2018,Endpoint,Squared,Mirage,16,9,1,2,9,1,7,8,3946,2325649,84,194,2,1,1
21/08/2018,Endpoint,Squared,Train,19,15,1,2,9,6,6,9,3946,2325649,84,194,2,1,1
08/08/2018,Endpoint,fnatic Academy,Inferno,16,8,1,2,4,5,12,3,3928,2325388,100,90,2,0,1
08/08/2018,Endpoint,fnatic Academy,Overpass,16,8,1,2,6,3,10,5,3928,2325388,100,90,2,0,1
01/08/2018,Endpoint,k1ck,Cache,20,22,2,1,8,7,7,8,3876,2325188,106,82,1,2,2
01/08/2018,Endpoint,k1ck,Inferno,13,16,2,1,8,7,5,9,3876,2325188,106,82,1,2,2
01/08/2018,Endpoint,k1ck,Dust2,16,10,1,2,6,5,10,5,3876,2325188,106,82,1,2,2
26/07/2018,Endpoint,aAa,Inferno,16,14,1,2,7,8,9,6,3910,2325032,124,87,2,1,1
26/07/2018,Endpoint,aAa,Overpass,16,5,1,1,12,3,4,2,3910,2325032,124,87,2,1,1
26/07/2018,Endpoint,aAa,Nuke,12,16,2,1,9,6,3,10,3910,2325032,124,87,2,1,1
17/06/2018,Endpoint,NOBO,Cache,9,16,2,1,3,12,6,4,3793,2324002,128,72,0,2,2
17/06/2018,Endpoint,NOBO,Inferno,14,16,2,2,4,11,10,5,3793,2324002,128,72,0,2,2
11/04/2018,Endpoint,attackiereN,Inferno,14,16,2,2,7,8,7,8,3631,2321889,128,93,1,2,2
11/04/2018,Endpoint,attackiereN,Train,14,16,2,1,5,10,9,6,3631,2321889,128,93,1,2,2
11/04/2018,Endpoint,attackiereN,Cobblestone,16,9,1,2,5,5,11,4,3631,2321889,128,93,1,2,2
31/03/2018,Endpoint,Rogue,Train,2,16,2,1,2,13,0,3,3653,2321602,128,42,1,2,2
31/03/2018,Endpoint,Rogue,Nuke,3,16,2,2,0,4,3,12,3653,2321602,128,42,1,2,2
31/03/2018,Endpoint,Rogue,Overpass,16,12,1,2,9,4,7,8,3653,2321602,128,42,1,2,2
02/12/2017,Endpoint,Epsilon,Mirage,12,16,2,2,7,6,5,10,3201,2317743,59,65,0,2,2
02/12/2017,Endpoint,Epsilon,Cobblestone,4,16,2,2,0,5,4,11,3201,2317743,59,65,0,2,2
18/11/2017,Endpoint,Prophecy,Overpass,13,16,2,2,3,11,10,5,3201,2317385,73,174,13,16,2
11/11/2017,Endpoint,Epsilon,Nuke,16,14,1,1,10,5,6,9,3201,2317139,77,65,16,14,1
04/11/2017,Endpoint,Method,Inferno,16,7,1,2,3,5,13,2,3201,2316824,86,121,16,7,1
02/11/2017,Endpoint,Kinguin,Mirage,5,16,2,2,0,6,5,10,3047,2316759,86,29,5,16,2
01/11/2017,Endpoint,Seed,Mirage,6,16,2,2,1,6,5,10,3047,2316634,86,31,6,16,2
01/11/2017,Endpoint,Nexus,Mirage,16,14,1,2,11,4,5,10,3047,2316640,86,74,16,14,1
14/10/2017,Endpoint,exceL,Inferno,16,13,1,1,7,8,9,5,3201,2315908,98,113,16,13,1
11/10/2017,Endpoint,Crowns,Inferno,12,16,2,2,5,8,7,8,3047,2315445,98,114,12,16,2
10/10/2017,Endpoint,aAa,Inferno,9,16,2,1,3,12,6,4,3047,2315337,98,49,9,16,2
06/10/2017,Endpoint,exceL,Overpass,16,7,1,1,12,3,4,4,3237,2315674,103,58,2,0,1
06/10/2017,Endpoint,exceL,Inferno,19,15,1,2,8,7,7,8,3237,2315674,103,58,2,0,1
03/10/2017,Endpoint,AGO,Mirage,6,16,2,1,5,10,1,6,3047,2315443,103,41,6,16,2
19/08/2017,Endpoint,Reason,Cache,10,16,2,1,7,8,3,8,2979,2312433,149,186,0,2,2
19/08/2017,Endpoint,Reason,Train,14,16,2,1,11,4,3,12,2979,2312433,149,186,0,2,2
12/08/2017,Endpoint,EnVyUs Academy,Cache,16,11,1,1,4,11,12,0,2979,2312447,147,52,1,1,2
12/08/2017,Endpoint,EnVyUs Academy,Train,10,16,2,1,4,11,6,5,2979,2312447,147,52,1,1,2
05/08/2017,Endpoint,Epsilon,Cache,11,16,2,2,4,8,7,8,2979,2312424,144,39,0,2,2
05/08/2017,Endpoint,Epsilon,Inferno,6,16,2,1,1,14,5,2,2979,2312424,144,39,0,2,2
22/07/2017,Endpoint,Method,Mirage,16,13,1,1,9,6,7,7,2979,2312418,174,141,2,0,1
22/07/2017,Endpoint,Method,Cache,19,17,1,1,12,3,3,12,2979,2312418,174,141,2,0,1
14/04/2017,Endpoint,Alpha,Cobblestone,14,16,2,1,7,8,7,8,2675,2309698,141,166,0,2,2
14/04/2017,Endpoint,Alpha,Train,2,16,2,1,2,13,0,3,2675,2309698,141,166,0,2,2
13/04/2017,Endpoint,OPAA,Inferno,16,14,1,1,5,10,11,4,2675,2309638,141,218,16,14,1
28/03/2017,Endpoint,ACG,Overpass,2,16,2,1,2,13,0,3,2672,2309141,161,190,2,16,2
21/03/2017,Endpoint,ROYALS,Train,14,16,2,1,13,2,1,14,2672,2308920,86,179,14,16,2
20/03/2017,Endpoint,Vexed,Mirage,12,16,2,2,6,7,6,9,2672,2308739,86,97,12,16,2
20/03/2017,Endpoint,ex-DarkPassage,Train,13,16,2,2,6,8,7,8,2672,2308899,86,58,13,16,2
12/03/2017,Endpoint,Chrome,Cobblestone,16,19,2,1,12,3,3,12,2672,2308337,99,118,16,19,2
15/02/2017,Endpoint,Spirit,Nuke,7,16,2,2,5,3,2,13,2672,2307990,62,41,7,16,2
16/09/2016,Endpoint,eSuba,Overpass,4,16,2,2,1,4,3,12,2430,2304806,78,154,0,2,2
16/09/2016,Endpoint,eSuba,Cache,12,16,2,2,4,9,8,7,2430,2304806,78,154,0,2,2
